"ocrSubjNumR","ocrRepNo"
"1.2.2.2.3","NACA-TR-921"
"1.2.2.2.3","NACA-TN-1943"
"1.2.2.2.3","NACA-TN-1946"
"1.2.2.2.3","NACA-RM-A9D05"
"1.2.2.2.3","NACA-TN-1955"
"1.2.2.2.3","NACA-TN-1959"
"1.2.2.2.3","NACA-TN-1973"
"1.2.2.2.3","NACA-TN-1977"
"1.2.2.2.3","NACA-TN-1991"
"1.2.2.2.3","NACA-TN-1992"
"1.2.2.2.3","NACA-TR-968"
"1.2.2.2.3","NACA-TR-969"
"1.2.2.2.3","NACA-TR-970"
"1.2.2.2.3","NACA-TR-971"
"1.2.2.2.3","NACA-TR-988"
"1.2.2.2.3","NACA-TN-2007"
"1.2.2.2.3","NACA-TN-2009"
"1.2.2.2.3","NACA-TN-2010"
"1.2.2.2.3","NACA-TN-2048"
"1.2.2.2.3","NACA-TN-2093"
"1.2.2.2.3","NACA-TN-2114"
"1.2.2.2.3","NACA-TN-2121"
"1.2.2.2.3","NACA-TN-2122"
"1.2.2.2.3","NACA-TN-2140"
"1.2.2.2.3","NACA-TN-2156"
"1.2.2.2.3","NACA-TN-2160"
"1.2.2.2.3","NACA-TN-2169"
"1.2.2.2.3","NACA-TN-2204"
"1.2.2.2.3","NACA-RM-L50H30"
"1.2.2.2.3","NACA-TN-2229"
"1.2.2.2.3","NACA-TN-2262"
"1.2.2.2.3","NACA-TN-2278"
"1.2.2.2.3","NACA-TN-2284"
"1.2.2.2.3","NACA-TN-2288"
"1.2.2.2.3","NACA-TN-2294"
"1.2.2.2.3","NACA-TN-2315"
"1.2.2.2.3","NACA-TN-2316"
"1.2.2.2.3","NACA-TN-2335"
"1.2.2.2.3","NACA-TN-2344"
"1.2.2.2.3","NACA-TM-1276"
"1.2.2.2.3","NACA-TN-2347"
"1.2.2.2.4","NACA-RM-L7D23"
"1.2.2.2.4","NACA-TR-892"
"1.2.2.2.4","NACA-TR-921"
"1.2.2.2.4","NACA-TR-941"
"1.2.2.2.4","NACA-TN-1943"
"1.2.2.2.4","NACA-TN-1973"
"1.2.2.2.4","NACA-TN-1977"
"1.2.2.2.4","NACA-TR-969"
"1.2.2.2.4","NACA-TR-970"
"1.2.2.2.4","NACA-TR-971"
"1.2.2.2.4","NACA-TR-972"
"1.2.2.2.4","NACA-TN-2009"
"1.2.2.2.4","NACA-TN-2048"
"1.2.2.2.4","NACA-TN-2093"
"1.2.2.2.4","NACA-TN-2114"
"1.2.2.2.4","NACA-TN-2122"
"1.2.2.2.4","NACA-TN-2135"
"1.2.2.2.4","NACA-TN-2156"
"1.2.2.2.4","NACA-TN-2229"
"1.2.2.2.4","NACA-TN-2262"
"1.2.2.2.4","NACA-TN-2282"
"1.2.2.2.4","NACA-TN-2294"
"1.2.2.2.4","NACA-TN-2315"
"1.2.2.2.4","NACA-TN-2352"
"1.2.2.2.6","NACA-TR-916"
"1.2.2.2.6","NACA-TR-942"
"1.2.2.2.6","NACA-RM-A9D05"
"1.2.2.2.6","NACA-TN-2251"
"1.2.2.2.7","NACA-TN-2229"
"1.2.2.3","NACA-TR-877"
"1.2.2.3","NACA-TM-1232"
"1.2.2.3","NACA-TN-2283"
"1.2.2.3.1","NACA-TR-883"
"1.2.2.3.1","NACA-RM-L7D23"
"1.2.2.3.1","NACA-TR-942"
"1.2.2.3.1","NACA-TN-1973"
"1.2.2.3.1","NACA-TN-1930"
"1.2.2.3.1","NACA-RM-A9D05"
"1.2.2.3.1","NACA-TN-2013"
"1.2.2.3.1","NACA-TN-2080"
"1.2.2.3.1","NACA-TN-2141"
"1.2.2.3.1","NACA-TN-2169"
"1.2.2.3.1","NACA-TN-2205"
"1.2.2.3.1","NACA-TN-2221"
"1.2.2.3.1","NACA-TN-2251"
"1.2.2.3.1","NACA-TN-2288"
"1.2.2.3.2","NACA-RM-L7D23"
"1.2.2.3.2","NACA-TN-2013"
"1.2.2.3.2","NACA-TN-2168"
"1.2.2.3.2","NACA-TN-2358"
"1.2.2.4","NACA-RM-A7F09"
"1.2.2.4","NACA-TR-927"
"1.2.2.4","NACA-TN-2011"
"1.2.2.4","NACA-TN-2140"
"1.2.2.4","NACA-TN-2221"
"1.2.2.4","NACA-TN-2278"
"1.2.2.4","NACA-TN-2283"
"1.2.2.4.1","NACA-TR-868"
"1.2.2.4.1","NACA-TR-883"
"1.2.2.4.1","NACA-RM-L7D23"
"1.2.2.4.1","NACA-TR-911"
"1.2.2.4.1","NACA-TR-939"
"1.2.2.4.1","NACA-RM-A9D05"
"1.2.2.4.1","NACA-TN-2080"
"1.2.2.4.1","NACA-TN-2086"
"1.2.2.4.1","NACA-TN-2089"
"1.2.2.4.1","NACA-TN-2169"
"1.2.2.4.1","NACA-TN-2199"
"1.2.2.4.1","NACA-TN-2221"
"1.2.2.4.1","NACA-TN-2229"
"1.2.2.4.1","NACA-TN-2247"
"1.2.2.4.1","NACA-TN-2282"
"1.2.2.4.1","NACA-TN-2288"
"1.2.2.4.1","NACA-TN-2316"
"1.2.2.4.1","NACA-TN-2336"
"1.2.2.4.1","NACA-TN-2348"
"1.2.2.4.2","NACA-TR-868"
"1.2.2.4.2","NACA-TN-2089"
"1.2.2.4.2","NACA-TN-2229"
"1.2.2.4.2","NACA-TN-2247"
